1;1;2
2;4;4
6;9;5
22;10;6
24;33;7
25;35;8
32;42;9
34;44;10
36;58;11
38;67;13
40;92;18
41;97;19
46;101;20
49;108;21
50;109;22
51;125;23
58;137;24
60;164;25
63;169;26
75;178;27
78;180;29
83;189;30
84;262;31
85;269;32
88;290;33
90;296;34
95;310;35
96;335;36
99;339;37
101;342;38
103;367;40
104;372;43
108;397;45
109;403;46
116;406;47
118;412;48
119;428;49
122;430;50
126;432;51
131;434;53
133;444;54
144;463;55
146;464;56
149;474;57
153;475;58
154;518;59
164;527;61
165;541;62
175;550;63
177;556;64
180;575;65
181;598;66
182;620;67
183;644;68
184;656;69
185;660;70
187;682;71
200;685;72
203;689;73
215;690;74
222;707;75
239;714;76
240;718;77
250;719;78
251;721;80
255;722;82
257;723;83
259;740;84
260;742;85
263;745;86
267;765;87
270;807;88
280;815;90
283;828;93
298;830;94
301;869;95
305;876;96
313;890;97
315;894;98
318;918;99
328;947;100
330;951;101
332;969;102
343;973;103
347;980;105
351;982;106
361;1024;107
363;1048;108
366;1054;109
367;1064;112
371;1065;115
372;1072;116
383;1088;117
392;1110;120
406;1123;121
407;1131;122
425;1149;123
437;1161;124
444;1175;125
445;1209;126
450;1218;128
453;1232;129
457;1236;130
458;1238;131
477;1247;132
479;1264;133
481;1275;134
490;1284;135
492;1306;136
496;1334;137
497;1350;138
505;1362;139
506;1381;140
518;1391;141
519;1394;143
523;1404;144
528;1416;145
529;1426;146
531;1431;147
534;1512;148
536;1518;149
538;1525;150
540;1537;151
541;1553;152
542;1558;153
543;1564;154
544;1569;155
559;1572;156
563;1573;157
564;1575;158
571;1581;159
591;1591;160
595;1595;161
603;1599;162
604;1623;163
605;1631;164
607;1641;165
616;1645;166
617;1654;167
626;1663;168
630;1665;169
635;1668;170
638;1669;171
640;1674;172
647;1691;173
658;1695;174
661;1707;175
664;1712;176
669;1715;177
677;1719;178
680;1723;
682;1749;
685;1750;
686;1763;
687;1772;
691;1778;
695;1798;
698;1829;
699;1842;
703;1856;
705;1887;
706;1893;
708;1913;
710;1925;
715;1947;
725;1953;
731;1961;
733;2037;
735;2043;
741;2047;
743;2055;
744;2058;
750;2073;
752;2079;
755;2080;
756;2092;
760;2116;
764;2119;
775;2129;
778;2132;
789;2166;
790;2177;
793;2180;
794;2202;
796;2222;
806;2230;
809;2241;
810;2256;
811;2293;
812;2300;
822;2310;
833;2312;
839;2323;
840;2324;
841;2343;
846;2350;
848;2361;
849;2368;
851;2373;
861;2377;
865;2399;
870;2422;
871;2434;
873;2454;
881;2471;
882;2491;
887;2492;
888;2501;
889;2511;
902;2523;
926;2525;
932;2537;
933;2554;
936;2556;
937;2559;
943;2563;
950;2566;
959;2583;
964;2605;
966;2615;
968;2624;
971;2644;
978;2647;
982;2653;
985;2672;
988;2684;
993;2700;
997;2702;
999;2727;
1000;2731;
1003;2735;
1006;2764;
1009;2768;
1011;2775;
1012;2786;
1013;2787;
1019;2789;
1020;2830;
1027;2835;
1039;2870;
1041;2915;
1044;2932;
1046;2935;
1082;2943;
1084;2944;
1088;2952;
1090;2956;
1100;3037;
1101;3039;
1107;3046;
1108;3072;
1121;3075;
1122;3085;
1129;3092;
1133;3099;
1137;3108;
1143;3148;
1145;3169;
1148;3180;
1155;3200;
1157;3204;
1161;3212;
1165;3213;
1169;3218;
1171;3262;
1185;3266;
1186;3283;
1187;3287;
1194;3295;
1195;3309;
1202;3317;
1203;3331;
1204;3342;
1206;3346;
1208;3375;
1217;3383;
1218;3447;
1223;3458;
1231;3477;
1235;3481;
1236;3507;
1239;3508;
1242;3546;
1245;3554;
1250;3597;
1255;3667;
1261;3713;
1275;3721;
1280;3746;
1283;3755;
1293;3820;
1309;3823;
1320;3860;
1322;3880;
1330;3889;
1336;3922;
1346;3923;
1357;3964;
1359;3971;
1367;3979;
1368;3999;
1370;4005;
1374;4012;
1384;4024;
1385;4056;
1389;4067;
1393;4079;
1394;4086;
1397;4100;
1399;4178;
1400;4191;
