6;8;1
28;18;2
36;21;3
38;29;4
47;31;5
58;46;6
66;55;7
77;63;8
96;72;9
97;73;10
100;83;11
108;89;12
121;117;13
124;120;14
126;121;15
127;126;16
143;141;17
149;147;18
170;155;19
196;164;20
197;177;21
199;185;22
200;189;23
206;226;24
212;229;25
215;238;26
219;239;27
222;245;28
230;271;29
231;298;30
233;324;31
241;335;32
243;339;33
244;344;34
245;354;35
255;357;36
263;395;37
290;404;38
298;416;39
310;424;40
334;427;41
338;428;42
339;432;43
353;436;44
357;440;45
363;442;46
364;449;47
377;461;48
382;467;49
395;473;50
414;482;51
416;499;65
419;512;66
436;513;67
438;522;68
442;566;69
443;590;70
464;595;71
466;608;72
470;640;73
495;651;74
496;661;75
497;668;76
498;677;77
501;700;78
523;703;79
524;709;80
525;721;81
554;741;82
558;755;83
591;768;84
592;773;85
607;783;86
627;786;87
628;805;88
632;842;89
654;847;90
728;860;91
733;861;92
761;862;95
764;872;96
769;879;97
772;884;98
785;895;101
790;897;102
797;900;103
799;932;104
801;933;105
802;962;106
806;972;107
812;979;108
827;981;109
847;983;110
848;986;111
850;992;113
852;995;114
859;999;115
861;1016;116
871;1028;117
872;1029;118
873;1030;119
876;1041;120
877;1077;121
879;1081;122
880;1083;123
881;1093;124
882;1118;125
888;1125;126
890;1130;127
900;1136;128
903;1163;129
910;1167;130
916;1176;131
921;1177;132
922;1196;133
923;1197;134
924;1202;135
925;1238;136
926;1241;137
927;1246;138
928;1274;139
929;1275;140
930;1277;142
931;1297;143
932;1325;144
933;1339;145
935;1345;146
936;1346;147
938;1362;148
939;1365;149
944;1420;150
945;1437;151
946;1438;152
947;1441;153
948;1447;154
949;1459;155
953;1461;156
1007;1478;157
1008;1488;158
1010;1495;159
1011;1498;160
1012;1513;161
1013;1515;162
1015;1520;163
1019;1523;164
1020;1526;165
1021;1533;166
1045;1536;167
1047;1538;168
1052;1546;169
1053;1547;170
1076;1560;171
1087;1561;172
1123;1565;173
1124;1576;174
1125;1603;175
1126;1609;176
1127;1626;179
1129;1629;180
1132;1630;181
1154;1642;182
1183;1644;183
1204;1650;184
1250;1656;185
1254;1657;186
1270;1660;187
1272;1666;188
1273;1667;189
1274;1677;190
1286;1697;191
1287;1702;192
1288;1716;193
1294;1717;194
1335;1743;195
1336;1746;196
1339;1774;197
1350;1780;198
1352;1786;199
1353;1797;200
1359;1819;201
1374;1851;202
1376;1852;203
1381;1855;204
1396;1856;205
1397;1876;206
1403;1877;207
1411;1883;208
1414;1910;209
1416;1945;211
1419;1948;212
1421;1954;213
1423;1959;214
1424;1964;215
1426;1981;216
1432;1982;217
1438;1998;218
1439;2012;219
1442;2015;220
1445;2016;221
1447;2017;222
1465;2019;227
1473;2021;228
1474;2027;229
1479;2036;232
1480;2040;233
1486;2050;234
1488;2057;235
1491;2064;236
1492;2068;237
1493;2071;238
1500;2080;276
1502;2082;277
1503;2091;278
1511;2100;279
1520;2109;280
1521;2110;281
1525;2123;292
1526;2136;294
1527;2137;295
1531;2144;302
1536;2148;303
1537;2152;329
1539;2154;330
1558;2162;337
1560;2163;338
1561;2172;341
1564;2202;431
1578;2206;434
1587;2215;435
1588;2231;436
1593;2263;437
1616;2295;440
1622;2373;453
1625;2400;472
1638;2403;473
1639;2407;474
1640;2408;475
1641;2413;476
2476;2418;477
2478;2427;478
2806;2429;479
2816;2431;483
2818;2467;484
2820;2474;486
2821;2488;487
2836;2491;488
2863;2492;490
2869;2501;491
2877;2502;493
2878;2518;494
2879;2534;495
2892;2546;497
2893;2554;498
2894;2560;499
2895;2563;500
2898;2588;501
2900;2598;502
2920;2606;503
2921;2609;504
2940;2611;505
2950;2628;508
2963;2660;509
2964;2661;511
2967;2665;512
2968;2668;
2969;2671;
2972;2677;
2973;2680;
2975;2686;
2976;2698;
2979;2718;
2990;2725;
2991;2734;
2992;2761;
2993;2762;
2996;2763;
2997;2774;
2998;2792;
3000;2801;
3005;2828;
3018;2835;
3019;2845;
3023;2857;
3187;2862;
3193;2865;
3203;2892;
3206;2901;
3209;2922;
3211;2923;
3212;2926;
3215;2927;
3216;2978;
3217;2998;
3219;3024;
3220;3034;
3223;3036;
3224;3037;
3225;3039;
3227;3041;
3230;3050;
3232;3052;
3237;3053;
3251;3068;
3272;3069;
3281;3077;
3293;3088;
3295;3103;
3301;3104;
3302;3111;
3315;3122;
3319;3124;
3321;3133;
3322;3143;
3323;3146;
3324;3156;
3325;3159;
3327;3161;
3329;3164;
3342;3193;
3344;3228;
3345;3244;
3349;3261;
3353;3276;
3354;3290;
3360;3300;
3366;3307;
3370;3325;
3372;3335;
3373;3347;
3374;3359;
3379;3361;
3381;3365;
3391;3366;
3394;3373;
3402;3374;
3403;3375;
3415;3376;
3421;3403;
3424;3415;
3437;3426;
3446;3433;
3450;3438;
3452;3440;
3453;3443;
3454;3445;
3458;3463;
3459;3464;
3460;3468;
3469;3482;
3470;3509;
3474;3510;
3476;3511;
3477;3520;
3482;3521;
3495;3526;
3497;3534;
3516;3536;
3517;3537;
3518;3540;
3521;3556;
3546;3560;
3548;3573;
3550;3582;
3551;3589;
3569;3592;
3612;3597;
3613;3599;
3614;3607;
3619;3610;
3651;3611;
3652;3612;
3655;3618;
3656;3619;
3659;3629;
3660;3635;
3688;3641;
3689;3643;
3708;3660;
3721;3670;
3742;3673;
3765;3674;
3766;3688;
3767;3689;
3769;3693;
3774;3696;
3780;3709;
3781;3719;
3786;3729;
3810;3737;
3864;3760;
3882;3762;
3894;3805;
3898;3806;
3899;3810;
3901;3823;
